t	x	y	theta	v	omega	v	omega
6.519	2.65928	1.16228	0.902126	0.500078	-0.000843612	0.5	0.0168635
6.54	2.66548	1.17013	0.902103	0.50004	-0.0013996	0.5	0.0168635
6.56	2.67168	1.17798	0.902074	0.499931	-0.00156038	0.5	0.0168635
6.581	2.67819	1.18622	0.902051	0.500056	-0.000701844	0.5	0.0217474
6.601	2.68439	1.19406	0.902031	0.50003	-0.00119011	0.5	0.0217474
6.622	2.6909	1.2023	0.902046	0.49996	0.00283074	0.5	0.0217474
6.642	2.6971	1.21015	0.902136	0.500026	0.00581085	0.5	0.0217474
6.662	2.7033	1.21799	0.902235	0.500013	0.00425295	0.5	0.0217474
6.683	2.70981	1.22623	0.902322	0.499969	0.00403645	0.5	0.0217474
6.703	2.71601	1.23408	0.902412	0.50003	0.00484605	0.5	0.0217474
6.724	2.72251	1.24232	0.902515	0.499987	0.00490226	0.5	0.0217474
6.745	2.72902	1.25056	0.902607	0.49999	0.00411308	0.5	0.0217474
6.765	2.73522	1.25841	0.902696	0.500011	0.00462741	0.5	0.0217474
6.785	2.74172	1.26666	0.902796	0.499946	0.00485032	0.5	0.0272592
6.806	2.74791	1.27451	0.902883	0.500083	0.0041448	0.5	0.0272592
6.826	2.75411	1.28236	0.903003	0.499997	0.00660655	0.5	0.0272592
6.847	2.76061	1.2906	0.903204	0.499937	0.0105084	0.5	0.0272592
6.867	2.7668	1.29846	0.903398	0.500083	0.0095102	0.5	0.0272592
6.887	2.77299	1.30631	0.903575	0.500031	0.00866973	0.5	0.0272592
6.908	2.77948	1.31456	0.903772	0.499919	0.00958062	0.5	0.0272592
6.927	2.78567	1.32242	0.903963	0.500072	0.00953322	0.5	0.0272592
6.948	2.79185	1.33028	0.904145	0.500033	0.0090192	0.5	0.0272592
6.969	2.79835	1.33853	0.904341	0.499901	0.00941065	0.5	0.0272592
6.99	2.80484	1.34678	0.904538	0.500065	0.00940084	0.5	0.0328534
7.01	2.81102	1.35464	0.904727	0.500075	0.00943206	0.5	0.0328534
7.031	2.8175	1.3629	0.904981	0.499885	0.0123587	0.5	0.0328534
7.052	2.82399	1.37116	0.90531	0.500072	0.0158524	0.5	0.0328534
7.072	2.83016	1.37903	0.905606	0.50005	0.0147993	0.5	0.0328534
7.093	2.83664	1.38729	0.90592	0.499882	0.0148659	0.5	0.0328534
7.114	2.84312	1.39555	0.906232	0.500098	0.0148113	0.5	0.0328534
7.133	2.84928	1.40343	0.906529	0.500072	0.0151592	0.5	0.0328534
7.155	2.85575	1.41169	0.906846	0.499894	0.014935	0.5	0.0328534
7.176	2.86222	1.41996	0.907159	0.500101	0.0146437	0.5	0.0328534
7.195	2.86838	1.42784	0.907452	0.500037	0.0146951	0.5	0.0385298
7.217	2.87485	1.43612	0.907771	0.499924	0.0184148	0.5	0.0385298
7.237	2.881	1.444	0.90815	0.500027	0.0210144	0.5	0.0385298
7.256	2.88715	1.45188	0.908567	0.500043	0.0201088	0.5	0.0385298
7.276	2.89361	1.46017	0.908994	0.499928	0.0210112	0.5	0.0385298
7.298	2.89975	1.46806	0.90941	0.50001	0.0203195	0.5	0.0385298
7.318	2.90589	1.47595	0.909815	0.499998	0.0200319	0.5	0.0385298
7.337	2.91203	1.48384	0.910221	0.500011	0.0209681	0.5	0.0385298
7.358	2.91847	1.49214	0.910658	0.49999	0.0204575	0.5	0.0385298
