t	x	y	theta	v	omega	v	omega
5.121	1.61508	1.5833	0.692655	0.500015	-0.0779002	0.5	0.0912131
5.14	1.62278	1.58968	0.691084	0.500058	-0.0785792	0.5	0.0912131
5.161	1.63088	1.59637	0.689438	0.499951	-0.0783949	0.5	0.169753
5.182	1.6386	1.60273	0.68788	0.500097	-0.0778675	0.5	0.169753
5.199	1.6471	1.6097	0.686313	0.500036	0.0731763	0.5	0.169753
5.225	1.65522	1.61636	0.68788	0.499911	0.0880594	0.5	0.169753
5.243	1.66371	1.62335	0.689767	0.500071	0.0755989	0.5	0.169753
5.267	1.67142	1.62972	0.69129	0.499918	0.078178	0.5	0.169753
5.288	1.67951	1.63642	0.692937	0.499991	0.0793067	0.5	0.169753
5.308	1.68719	1.64282	0.694522	0.50009	0.0789958	0.5	0.169753
5.328	1.69487	1.64922	0.696098	0.499919	0.0782333	0.5	0.169753
5.349	1.70293	1.65596	0.697745	0.500001	0.0790036	0.5	0.169753
5.369	1.71058	1.66239	0.699325	0.500106	0.0789639	0.5	0.169753
5.389	1.71823	1.66884	0.700904	0.499993	0.0789711	0.5	0.195518
5.409	1.72587	1.67529	0.702931	0.499951	0.16845	0.5	0.195518
5.429	1.73349	1.68177	0.706255	0.500091	0.160955	0.5	0.195518
5.448	1.74109	1.68827	0.709449	0.499954	0.155891	0.5	0.195518
5.47	1.74904	1.69512	0.712734	0.499924	0.157464	0.5	0.195518
5.491	1.75698	1.702	0.716041	0.500203	0.157544	0.5	0.195518
5.511	1.76451	1.70858	0.719192	0.499923	0.157519	0.5	0.195518
5.532	1.7724	1.71551	0.722497	0.49996	0.157236	0.5	0.195518
5.552	1.77989	1.72213	0.725644	0.500153	0.157445	0.5	0.195518
5.572	1.78736	1.72878	0.728793	0.499899	0.157449	0.5	0.163831
5.593	1.79518	1.73578	0.732093	0.499986	0.156828	0.5	0.163831
5.613	1.80261	1.74248	0.735503	0.50009	0.18421	0.5	0.163831
5.634	1.81038	1.74954	0.739382	0.499887	0.185157	0.5	0.163831
5.654	1.81813	1.75663	0.743239	0.499981	0.18256	0.5	0.163831
5.674	1.82548	1.76341	0.746897	0.500227	0.18313	0.5	0.163831
5.695	1.83317	1.77055	0.750745	0.499866	0.183291	0.5	0.163831
5.716	1.84084	1.77773	0.754594	0.500017	0.183274	0.5	0.163831
5.736	1.84811	1.78459	0.758257	0.50008	0.183118	0.5	0.163831
