t	x	y	theta	v	omega	v	omega
6.969	3.34075	-0.0973605	0.108974	0.499905	0.302028	0.5	0.36652
6.99	3.35118	-0.0961871	0.115308	0.499949	0.301556	0.5	0.36652
7.01	3.36161	-0.0949475	0.121663	0.500084	0.326576	0.5	0.36652
7.031	3.37203	-0.0936392	0.128529	0.499876	0.330726	0.5	0.36652
7.053	3.38244	-0.092259	0.135463	0.500055	0.326908	0.5	0.36652
7.074	3.39284	-0.0908069	0.142335	0.499964	0.328557	0.5	0.36652
7.095	3.40323	-0.0892834	0.149231	0.499936	0.327918	0.5	0.3927
7.116	3.4136	-0.0876879	0.156251	0.500059	0.350205	0.5	0.3927
7.137	3.42397	-0.0860176	0.16366	0.499896	0.357959	0.5	0.3927
7.158	3.43432	-0.0842699	0.171142	0.500019	0.353549	0.5	0.3927
7.179	3.44466	-0.082445	0.178564	0.500196	0.353349	0.5	0.41888
7.2	3.45499	-0.0805436	0.185999	0.499939	0.354812	0.5	0.41888
7.22	3.4653	-0.0785645	0.193706	0.499978	0.378096	0.5	0.41888
7.242	3.4756	-0.0765042	0.201698	0.499932	0.38236	0.5	0.41888
7.263	3.48588	-0.0743615	0.209702	0.500186	0.380429	0.5	0.41888
7.284	3.49614	-0.0721367	0.217689	0.499972	0.380283	0.5	0.41888
7.306	3.50687	-0.0697182	0.226042	0.49997	0.379442	0.5	0.44506
7.328	3.51758	-0.0672083	0.234824	0.499954	0.403593	0.5	0.44506
7.35	3.52827	-0.0646031	0.243827	0.499943	0.409792	0.5	0.44506
7.371	3.53941	-0.0617771	0.253147	0.499966	0.406983	0.5	0.47124
7.395	3.55005	-0.0589767	0.262099	0.499956	0.406495	0.5	0.47124
